2V2,00:00,Alianza Lima,Gas Ayacucho,1.30,3.75,6.25,-,-,0-1,0-1
253,17:00,İsviçre U21,Rusya U21,-,-,-,-,-,2-1,3-2
254,20:30,İtalya U21,Danimarka U21,2.00,3.00,2.70,-,-,0-0,0-0
255,22:45,Fransa U21,İngiltere U21,2.10,2.90,2.60,-,-,1-1,3-2
256,22:45,Polonya,Slovenya,1.60,3.20,3.75,-,-,0-1,1-1
257,02:30,CD Everton,Union Etdola,2.50,2.90,2.20,-,-,0-0,0-0
401,13:35,Japonya,Suudi Arabistan,1.20,4.30,8.00,-,-,1-0,2-1
402,13:35,Avustralya,Japonya,2.00,4.20,2.15,-,-,1-1,2-2
403,13:35,Suudi Arabistan,Tayland,2.40,2.70,2.40,-,-,0-1,1-2
404,14:00,Güney Kore,Özbekistan,1.40,3.50,5.00,-,-,0-1,2-1
405,14:35,Çin,Katar,1.85,3.00,3.10,-,-,0-0,0-0
406,15:00,Suriye,İran,7.00,4.00,1.25,-,-,0-0,0-0
407,15:00,Tayland,Avustralya,10.00,5.50,1.10,-,-,1-1,2-2
408,17:00,Tunus,Moritanya,1.15,4.75,9.00,1.65,1.70,0-0,0-0
409,18:20,B.Arap Emirlikleri,Irak,1.80,3.00,3.20,-,-,1-0,2-0
410,19:00,Rusya,Romanya,1.85,2.90,3.20,1.40,2.05,0-0,1-0
411,20:00,İtdya U21,Avusturya U21,1.15,4.75,9.00,2.05,1.40,0-0,0-0
412,20:00,Mozambik,Güney Afrika,2.50,2.70,2.30,1.50,1.85,1-0,1-1
415,21:00,Norveç U21,Sırbistan U21,1.90,2.90,3.00,1.50,1.85,0-0,1-0
416,21:00,Malta,İzlanda,12.50,6.25,1.05,1.80,1.55,0-0,0-2
417,21:45,Macaristan,İsveç,2.30,2.90,2.40,1.50,1.85,0-1,0-2
418,21:45,Danimarka,İsveç,2.35,2.90,2.30,-,-,1-1,1-2
419,22:00,Fluminense,Paranaense,1.55,3.30,4.00,1.50,1.85,1-0,1-1
420,22:00,Ukrayna,Sırbistan,2.10,2.80,2.70,1.40,2.05,1-0,2-0
421,22:30,Çek Cumhuriyeti,Danimarka,2.20,2.80,2.60,1.45,1.95,1-1,1-1
422,22:45,Wimbledon,Bury,1.85,3.10,3.00,1.75,1.60,3-0,5-0
423,22:45,Bristol Rovers,Crawley Town,1.30,3.75,6.25,1.95,1.45,1-1,2-2
424,22:45,Coventry,Morecambe,1.35,3.60,5.50,1.95,1.45,1-1,2-1
425,22:45,Crewe,Cheltenham,1.90,3.00,2.90,1.60,1.75,0-2,1-4
426,22:45,Fleetwood,Southport,1.20,4.30,8.00,2.15,1.35,1-0,1-1
427,22:45,Notts County,Boreham Wood,1.65,3.20,3.60,1.70,1.65,1-0,1-0
428,22:45,Rochdale,Maidstone,1.25,4.00,7.00,1.75,1.60,2-0,2-0
429,22:45,Solihull Moors,Yeovil,2.70,3.00,2.00,1.75,1.60,0-0,0-0
430,22:45,Swindon,Eastleigh,1.60,3.30,3.60,1.80,1.55,0-2,1-3
431,22:45,Avusturya,Slovakya,1.80,3.10,3.10,1.50,1.85,0-0,0-0
432,22:45,İtalya,Almanya,2.40,2.90,2.30,1.55,1.80,0-0,0-0
433,22:45,Kuzey İrlanda,Hırvatistan,2.80,3.00,1.95,1.40,2.05,0-2,0-3
434,22:45,East Fife,Alloa Athletic,3.30,3.20,1.70,1.85,1.50,1-0,2-2
435,22:45,Bristol Rovers,Rochdale,2.00,3.75,2.30,-,-,1-2,2-2
436,22:45,Crawley Town,Maidstone,2.45,2.75,2.30,-,-,1-0,2-0
437,22:45,Almanya,İngiltere,2.20,3.00,2.40,-,-,0-1,0-2
438,22:45,İtdya,İtalya,2.40,3.20,2.10,-,-,0-0,2-0
439,23:00,İngiltere,İtdya,2.50,2.90,2.20,1.55,1.80,1-0,2-2
440,23:00,Fransa,Fildişi Sahili,1.15,4.75,9.00,1.70,1.65,0-0,0-0
441,23:00,Fas,Togo,1.50,3.30,4.30,1.50,1.85,1-1,2-1
442,23:00,Bolivya,Paraguay,2.40,2.90,2.30,1.55,1.80,0-0,1-0
443,00:00,Ekvador,Venezuella,1.15,4.75,9.00,1.80,1.55,0-0,3-0
446,01:05,Honduras,Trinidad-Tobago,1.30,3.75,6.25,-,-,2-0,3-1
447,02:30,Arjantin,Kolombiya,1.40,3.50,5.00,1.50,1.85,2-0,3-0
448,02:30,Arjantin,Meksika,2.15,3.30,2.30,-,-,2-0,3-0
449,02:30,Kolombiya,Panama,2.40,2.70,2.40,-,-,0-0,0-0
450,02:30,Şili,Uruguay,2.00,3.00,2.70,1.55,1.80,1-1,3-1
